Row	energy_consumption	starting_temp	starting_humi	time_taken	factor	path	ending_temp	ending_humi
110	[]	24.79	48.75	[]	Infinity	[]		
111	[]	24.79	48.75	[]	Infinity	[]		
112	[]	24.79	48.75	[]	Infinity	[]		
113	[]	22.98	60.5	[]	Infinity	[]		
114	[]	22.98	60.5	[]	Infinity	[]		
115	[]	22.98	60.5	[]	Infinity	[]		
116	[]	22.98	60.5	[]	Infinity	[]		
117	[]	22.98	60.5	[]	Infinity	[]		
118	[]	24.79	48.75	[]	Infinity	[]		
119	[]	24.79	48.75	[]	Infinity	[]		
120	[]	22.98	60.5	[]	Infinity	[]		
121	[]	22.98	60.5	[]	Infinity	[]		
122	[]	22.98	60.5	[]	Infinity	[]		
123	[]	22.98	60.5	[]	Infinity	[]		
124	[]	24.79	48.75	[]	Infinity	[]		
125	[]	24.79	48.75	[]	Infinity	[]		
126	[]	24.79	48.75	[]	Infinity	[]		
127	[]	24.79	48.75	[]	Infinity	[]		
128	[]	22.98	60.5	[]	Infinity	[]		
129	[]	24.79	48.75	[]	Infinity	[]		
130	[]	24.79	48.75	[]	Infinity	[]		
131	[]	22.98	60.5	[]	Infinity	[]		
132	[]	22.98	60.5	[]	Infinity	[]		
133	[]	22.98	60.5	[]	Infinity	[]		
134	[]	22.98	60.5	[]	Infinity	[]		
135	[]	24.79	48.75	[]	Infinity	[]		
136	[]	24.79	48.75	[]	Infinity	[]		
137	[]	24.79	48.75	[]	Infinity	[]		
138	[]	24.79	48.75	[]	Infinity	[]		
139	[]	24.79	48.75	[]	Infinity	[]		
140	[]	24.79	48.75	[]	Infinity	[]		
141	[]	22.98	60.5	[]	Infinity	[]		
142	[]	22.98	60.5	[]	Infinity	[]		
143	[]	22.98	60.5	[]	Infinity	[]		
144	[]	24.79	48.75	[]	Infinity	[]		
145	[]	24.79	48.75	[]	Infinity	[]		
146	[]	24.79	48.75	[]	Infinity	[]		
147	[]	22.98	60.5	[]	Infinity	[]		
148	[]	24.79	48.75	[]	Infinity	[]		
149	[]	22.98	60.5	[]	Infinity	[]		
150	[]	22.98	60.5	[]	Infinity	[]		
151	[]	24.79	48.75	[]	Infinity	[]		
152	[]	24.79	48.75	[]	Infinity	[]		
153	[]	24.79	48.75	[]	Infinity	[]		
154	[]	24.79	48.75	[]	Infinity	[]		
155	[]	24.79	48.75	[]	Infinity	[]		
156	[]	24.79	48.75	[]	Infinity	[]		
157	[]	24.79	48.75	[]	Infinity	[]		
158	[]	24.79	48.75	[]	Infinity	[]		
159	[]	24.79	48.75	[]	Infinity	[]		
160	[]	22.98	60.5	[]	Infinity	[]		
161	[]	22.98	60.5	[]	Infinity	[]		
162	[]	24.79	48.75	[]	Infinity	[]		
163	[]	24.79	48.75	[]	Infinity	[]		
164	[]	24.79	48.75	[]	Infinity	[]		
165	[]	22.98	60.5	[]	Infinity	[]		
166	[]	22.98	60.5	[]	Infinity	[]		
167	[]	24.79	48.75	[]	Infinity	[]		
168	[]	24.79	48.75	[]	Infinity	[]		
169	[]	22.98	60.5	[]	Infinity	[]		
170	[]	22.98	60.5	[]	Infinity	[]		
171	[]	24.79	48.75	[]	Infinity	[]		
172	[]	24.79	48.75	[]	Infinity	[]		
173	[]	22.98	60.5	[]	Infinity	[]		
174	[]	22.98	60.5	[]	Infinity	[]		
175	[]	22.98	60.5	[]	Infinity	[]		
176	[]	22.98	60.5	[]	Infinity	[]		
177	[]	22.98	60.5	[]	Infinity	[]		
178	[]	22.98	60.5	[]	Infinity	[]		
179	[]	22.98	60.5	[]	Infinity	[]		
180	[]	22.98	60.5	[]	Infinity	[]		
181	[]	24.79	48.75	[]	Infinity	[]		
182	[]	24.79	48.75	[]	Infinity	[]		
183	[]	24.79	48.75	[]	Infinity	[]		
184	[]	24.79	48.75	[]	Infinity	[]		
185	[]	24.79	48.75	[]	Infinity	[]		
186	[]	24.79	48.75	[]	Infinity	[]		
187	[]	24.79	48.75	[]	Infinity	[]		
188	[]	24.79	48.75	[]	Infinity	[]		
189	[]	24.79	48.75	[]	Infinity	[]		
190	[]	24.79	48.75	[]	Infinity	[]		
191	[]	24.79	48.75	[]	Infinity	[]		
192	[]	24.79	48.75	[]	Infinity	[]		
193	[]	22.98	60.5	[]	Infinity	[]		
194	[]	22.98	60.5	[]	Infinity	[]		
195	[]	24.79	48.75	[]	Infinity	[]		
196	[]	22.98	60.5	[]	Infinity	[]		
197	[]	24.79	48.75	[]	Infinity	[]		
198	[]	22.98	60.5	[]	Infinity	[]		
199	[]	24.79	48.75	[]	Infinity	[]		
200	[]	22.98	60.5	[]	Infinity	[]		
201	[]	24.79	48.75	[]	Infinity	[]		
202	[]	24.79	48.75	[]	Infinity	[]		
203	[]	24.79	48.75	[]	Infinity	[]		
204	[]	24.79	48.75	[]	Infinity	[]		
205	[]	24.79	48.75	[]	Infinity	[]		
206	[]	24.79	48.75	[]	Infinity	[]		
207	[]	22.98	60.5	[]	Infinity	[]		
208	[]	24.79	48.75	[]	Infinity	[]		
209	[]	24.79	48.75	[]	Infinity	[]		
210	[]	22.98	60.5	[]	Infinity	[]		
211	[]	22.98	60.5	[]	Infinity	[]		
212	[]	22.98	60.5	[]	Infinity	[]		
213	[]	24.79	48.75	[]	Infinity	[]		
214	[]	24.79	48.75	[]	Infinity	[]		
215	[]	24.79	48.75	[]	Infinity	[]		
216	[]	24.79	48.75	[]	Infinity	[]		
217	[]	24.79	48.75	[]	Infinity	[]		
218	[]	24.79	48.75	[]	Infinity	[]		
219	[]	24.79	48.75	[]	Infinity	[]		
220	[]	24.79	48.75	[]	Infinity	[]		
221	[]	24.79	48.75	[]	Infinity	[]		
222	[]	24.79	48.75	[]	Infinity	[]		
223	[]	24.79	48.75	[]	Infinity	[]		
224	[]	22.98	60.5	[]	Infinity	[]		
225	[]	22.98	60.5	[]	Infinity	[]		
226	[]	22.98	60.5	[]	Infinity	[]		
227	[]	24.79	48.75	[]	Infinity	[]		
228	[]	22.98	60.5	[]	Infinity	[]		
229	[]	24.79	48.75	[]	Infinity	[]		
230	[]	22.98	60.5	[]	Infinity	[]		
231	[]	24.79	48.75	[]	Infinity	[]		
232	[]	22.98	60.5	[]	Infinity	[]		
233	[]	22.98	60.5	[]	Infinity	[]		
234	[]	22.98	60.5	[]	Infinity	[]		
235	[]	24.79	48.75	[]	Infinity	[]		
236	[]	22.98	60.5	[]	Infinity	[]		
237	[]	22.98	60.5	[]	Infinity	[]		
238	[]	22.98	60.5	[]	Infinity	[]		
239	[]	22.98	60.5	[]	Infinity	[]		
240	[]	24.79	48.75	[]	Infinity	[]		
241	[]	24.79	48.75	[]	Infinity	[]		
242	[]	24.79	48.75	[]	Infinity	[]		
243	[]	24.79	48.75	[]	Infinity	[]		
244	[]	24.79	48.75	[]	Infinity	[]		
245	[]	24.79	48.75	[]	Infinity	[]		
246	[]	24.79	48.75	[]	Infinity	[]		
247	[]	24.79	48.75	[]	Infinity	[]		
248	[]	24.79	48.75	[]	Infinity	[]		
249	[]	22.98	60.5	[]	Infinity	[]		
250	[]	24.79	48.75	[]	Infinity	[]		
251	[]	22.98	60.5	[]	Infinity	[]		
252	[]	24.79	48.75	[]	Infinity	[]		
253	[]	24.79	48.75	[]	Infinity	[]		
254	[]	24.79	48.75	[]	Infinity	[]		
255	[]	24.79	48.75	[]	Infinity	[]		
256	[]	22.98	60.5	[]	Infinity	[]		
257	[]	24.79	48.75	[]	Infinity	[]		
258	[]	24.79	48.75	[]	Infinity	[]		
259	[]	24.79	48.75	[]	Infinity	[]		
260	[]	24.79	48.75	[]	Infinity	[]		
261	[]	24.79	48.75	[]	Infinity	[]		
262	[]	24.79	48.75	[]	Infinity	[]		
263	[]	22.98	60.5	[]	Infinity	[]		
264	[]	22.98	60.5	[]	Infinity	[]		
265	[]	22.98	60.5	[]	Infinity	[]		
266	[]	24.79	48.75	[]	Infinity	[]		
267	[]	22.98	60.5	[]	Infinity	[]		
268	[]	24.79	48.75	[]	Infinity	[]		
269	[]	24.79	48.75	[]	Infinity	[]		
270	[]	24.79	48.75	[]	Infinity	[]		
271	[]	24.79	48.75	[]	Infinity	[]		
272	[]	24.79	48.75	[]	Infinity	[]		
273	[]	22.98	60.5	[]	Infinity	[]		
274	[]	22.98	60.5	[]	Infinity	[]		
275	[]	22.98	60.5	[]	Infinity	[]		
276	[]	24.79	48.75	[]	Infinity	[]		
277	[]	24.79	48.75	[]	Infinity	[]		
278	[]	22.98	60.5	[]	Infinity	[]		
279	[]	22.98	60.5	[]	Infinity	[]		
280	[]	24.79	48.75	[]	Infinity	[]		
281	[]	24.79	48.75	[]	Infinity	[]		
282	[]	24.79	48.75	[]	Infinity	[]		
283	[]	22.98	60.5	[]	Infinity	[]		
284	[]	22.98	60.5	[]	Infinity	[]		
285	[]	24.79	48.75	[]	Infinity	[]		
286	[]	24.79	48.75	[]	Infinity	[]		
287	[]	22.98	60.5	[]	Infinity	[]		
288	[]	24.79	48.75	[]	Infinity	[]		
289	[]	24.79	48.75	[]	Infinity	[]		
290	[]	24.79	48.75	[]	Infinity	[]		
291	[]	24.79	48.75	[]	Infinity	[]		
292	[]	22.98	60.5	[]	Infinity	[]		
293	[]	22.98	60.5	[]	Infinity	[]		
294	[]	24.79	48.75	[]	Infinity	[]		
295	[]	24.79	48.75	[]	Infinity	[]		
296	[]	22.98	60.5	[]	Infinity	[]		
297	[]	24.79	48.75	[]	Infinity	[]		
298	[]	22.98	60.5	[]	Infinity	[]		
299	[]	24.79	48.75	[]	Infinity	[]		
300	[]	24.79	48.75	[]	Infinity	[]		
301	[]	24.79	48.75	[]	Infinity	[]		
302	[]	24.79	48.75	[]	Infinity	[]		
303	[]	24.79	48.75	[]	Infinity	[]		
304	[]	24.79	48.75	[]	Infinity	[]		
305	[]	24.79	48.75	[]	Infinity	[]		
306	[]	24.79	48.75	[]	Infinity	[]		
307	[]	24.79	48.75	[]	Infinity	[]		
308	[]	22.98	60.5	[]	Infinity	[]		
309	[]	24.79	48.75	[]	Infinity	[]		
310	[]	22.98	60.5	[]	Infinity	[]		
311	[]	22.98	60.5	[]	Infinity	[]		
312	[]	24.79	48.75	[]	Infinity	[]		
313	[]	24.79	48.75	[]	Infinity	[]		
314	[]	24.79	48.75	[]	Infinity	[]		
315	[]	24.79	48.75	[]	Infinity	[]		
316	[]	24.79	48.75	[]	Infinity	[]		
317	[]	24.79	48.75	[]	Infinity	[]		
318	[]	22.98	60.5	[]	Infinity	[]		
319	[]	22.98	60.5	[]	Infinity	[]		
320	[]	24.79	48.75	[]	Infinity	[]		
321	[]	22.98	60.5	[]	Infinity	[]		
322	[]	22.98	60.5	[]	Infinity	[]		
323	[]	22.98	60.5	[]	Infinity	[]		
324	[]	24.79	48.75	[]	Infinity	[]		
325	[]	24.79	48.75	[]	Infinity	[]		
326	[]	24.79	48.75	[]	Infinity	[]		
327	[]	24.79	48.75	[]	Infinity	[]		
328	[]	24.79	48.75	[]	Infinity	[]		
329	[]	22.98	60.5	[]	Infinity	[]		
330	[]	24.79	48.75	[]	Infinity	[]		
331	[]	24.79	48.75	[]	Infinity	[]		
332	[]	24.79	48.75	[]	Infinity	[]		
333	[]	24.79	48.75	[]	Infinity	[]		
334	[]	24.79	48.75	[]	Infinity	[]		
335	[]	22.98	60.5	[]	Infinity	[]		
336	[]	24.79	48.75	[]	Infinity	[]		
337	[]	24.79	48.75	[]	Infinity	[]		
338	[]	24.79	48.75	[]	Infinity	[]		
339	[]	24.79	48.75	[]	Infinity	[]		
340	[]	24.79	48.75	[]	Infinity	[]		
341	[]	22.98	60.5	[]	Infinity	[]		
342	[]	22.98	60.5	[]	Infinity	[]		
343	[]	22.98	60.5	[]	Infinity	[]		
344	[]	22.98	60.5	[]	Infinity	[]		
345	[]	22.98	60.5	[]	Infinity	[]		
346	[]	22.98	60.5	[]	Infinity	[]		
347	[]	22.98	60.5	[]	Infinity	[]		
348	[]	22.98	60.5	[]	Infinity	[]		
349	[]	22.98	60.5	[]	Infinity	[]		
350	[]	22.98	60.5	[]	Infinity	[]		
351	[]	22.98	60.5	[]	Infinity	[]		
352	[]	22.98	60.5	[]	Infinity	[]		
353	[]	22.98	60.5	[]	Infinity	[]		
354	[]	22.98	60.5	[]	Infinity	[]		
355	[]	22.98	60.5	[]	Infinity	[]		
356	[]	22.98	60.5	[]	Infinity	[]		
357	[]	24.79	48.75	[]	Infinity	[]		
358	[]	22.98	60.5	[]	Infinity	[]		
359	[]	22.98	60.5	[]	Infinity	[]		
360	[]	22.98	60.5	[]	Infinity	[]		
361	[]	22.98	60.5	[]	Infinity	[]		
362	[]	22.98	60.5	[]	Infinity	[]		
363	[]	22.98	60.5	[]	Infinity	[]		
