trial_id,units_input,num_layers,l2_input,learning_rate,val_loss,val_mae,units_layer_0
028,32,1,0.05,0.001,0.16075565665960312,0.1560560092329979,64
037,48,1,0.01,0.001,0.1648009791970253,0.15326491743326187,32
052,32,1,0.03,0.001,0.17604416608810425,0.16492323577404022,64
084,64,1,0.01,0.001,0.18570535629987717,0.13700511306524277,32
099,16,1,0.01,0.001,0.1964593380689621,0.19175662100315094,48
000,16,1,0.05,0.0001,0.20267680287361145,0.18968047946691513,64
057,64,1,0.08,0.001,0.2048920914530754,0.1662152037024498,48
072,32,1,0.04,0.001,0.20771612972021103,0.18061285465955734,48
032,48,1,0.09,0.001,0.20853081345558167,0.17084479331970215,48
082,16,1,0.06999999999999999,0.001,0.2090974897146225,0.17861247062683105,32
088,64,1,0.05,0.0001,0.2091240957379341,0.17463906109333038,32
003,16,1,0.060000000000000005,0.0001,0.21192127466201782,0.19197212904691696,64
015,64,1,0.01,0.0001,0.2130245417356491,0.1441073939204216,64
080,32,1,0.060000000000000005,0.0001,0.21543540805578232,0.17445437610149384,64
036,64,1,0.06999999999999999,0.001,0.21639025956392288,0.17784399539232254,64
069,32,1,0.09999999999999999,0.0001,0.21651753038167953,0.20138433575630188,48
029,32,1,0.04,0.0001,0.2179325819015503,0.1808454766869545,48
096,32,1,0.04,0.0001,0.21815264970064163,0.18918656557798386,48
074,48,1,0.08,0.001,0.21984758228063583,0.16986271739006042,32
048,64,1,0.09,0.001,0.22130941599607468,0.19521302729845047,16
