timestamp,temperature,humidity,power_consumption,energy_consumption,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode,FC_Unit_7_Status,FC_Unit_7_Fan_Status,FC_Unit_7_Set_Point,FC_Unit_7_Operation_Mode,FC_Unit_8_Status,FC_Unit_8_Fan_Status,FC_Unit_8_Set_Point,FC_Unit_8_Operation_Mode
1733241732,21.957,56.312,0.4999,2871.5999999999995,ON,VERY LOW,24.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733242057,21.933,58.643,0.5595,2871.6499999999996,ON,VERY LOW,24.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733242333,22.1,59.562,4.8876,2871.8399999999997,ON,VERY LOW,24.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733242724,22.183,60.5,9.078,2872.38,ON,VERY LOW,24.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733242993,22.114,61.5,2.3982,2872.6600000000003,ON,VERY LOW,24.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733243381,22.25,61.214,7.2613,2873.0699900000004,ON,VERY LOW,24.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733243653,22.25,61.286,3.9893,2873.62,ON,VERY LOW,24.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733244038,22.383,61.071,2.5135,2873.9700000000003,ON,VERY LOW,24.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733244367,22.333,60.5,6.6169,2874.4900000000002,ON,VERY LOW,24.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733244695,22.3,60.929,2.22,2874.79,ON,VERY LOW,24.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733244973,22.357,60.75,4.7092,2875.11,ON,VERY LOW,24.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733245319,22.343,59.875,5.1960999999999995,2875.7599999999998,ON,VERY LOW,24.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733245688,22.283,63.286,3.7840000000000003,2876.08,ON,VERY LOW,24.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL
